Book Title,Course,Branch,Rating,Published Date,Description
International Business: Competing in the Global Marketplace,International Business,MBA,4.88,2022-12-08,Covers the complexities of conducting business in a global context.
Global Business Management,International Business,MBA,3.68,2022-06-02,Covers the complexities of conducting business in a global context.
Cross-Cultural Management,International Business,MBA,4.93,2022-02-24,Covers the complexities of conducting business in a global context.
"Corporate Governance: Principles, Policies, and Practices",Corporate Governance,MBA,3.62,2023-08-16,Focuses on governance frameworks and ethical responsibilities in corporations.
Corporate Governance and Accountability,Corporate Governance,MBA,3.9,2023-07-20,Focuses on governance frameworks and ethical responsibilities in corporations.
The Handbook of Corporate Governance,Corporate Governance,MBA,3.84,2022-10-24,Focuses on governance frameworks and ethical responsibilities in corporations.
Principles of Agronomy,Agronomy,Agriculture,4.16,2015-12-24,Covers principles and practices in crop production and management.
Crop Production and Management,Agronomy,Agriculture,4.17,2023-11-10,Covers principles and practices in crop production and management.
Agronomy: A Sustainable Approach,Agronomy,Agriculture,4.53,2022-05-02,Covers principles and practices in crop production and management.
Soil Science: An Introduction,Soil Science,Agriculture,4.28,2014-05-19,"Focuses on soil properties, management, and sustainable practices."
Fundamentals of Soil Science,Soil Science,Agriculture,4.37,2015-10-08,"Focuses on soil properties, management, and sustainable practices."
Soil Management for Sustainable Agriculture,Soil Science,Agriculture,4.62,2020-02-23,"Focuses on soil properties, management, and sustainable practices."
Introduction to Horticulture,Horticulture,Agriculture,3.91,2020-11-25,Discusses the cultivation and management of horticultural crops.
Horticulture: Principles and Practices,Horticulture,Agriculture,3.88,2014-03-02,Discusses the cultivation and management of horticultural crops.
Vegetable Production,Horticulture,Agriculture,3.65,2014-07-11,Discusses the cultivation and management of horticultural crops.
Agricultural Economics: Principles and Applications,Agricultural Economics,Agriculture,4.47,2018-11-06,Explores economic principles and their application in agriculture.
Farm Management,Agricultural Economics,Agriculture,3.82,2024-07-12,Explores economic principles and their application in agriculture.
Agricultural Marketing,Agricultural Economics,Agriculture,3.76,2020-02-04,Explores economic principles and their application in agriculture.
Plant Pathology: Principles and Practice,Plant Pathology,Agriculture,4.54,2020-10-05,Focuses on plant diseases and their management.
Diseases of Field Crops,Plant Pathology,Agriculture,3.64,2024-11-04,Focuses on plant diseases and their management.
Introduction to Plant Pathology,Plant Pathology,Agriculture,4.76,2018-01-08,Focuses on plant diseases and their management.
Animal Science: A Comprehensive Approach,Animal Science,Agriculture,4.15,2022-09-12,Covers principles in livestock production and animal husbandry.
Livestock Production and Management,Animal Science,Agriculture,3.99,2016-02-01,Covers principles in livestock production and animal husbandry.
Principles of Animal Science,Animal Science,Agriculture,4.1,2024-03-31,Covers principles in livestock production and animal husbandry.
Introduction to Agricultural Engineering,Agricultural Engineering,Agriculture,3.52,2020-12-06,Discusses engineering principles in agricultural practices.
Farm Machinery and Equipment,Agricultural Engineering,Agriculture,3.85,2014-05-24,Discusses engineering principles in agricultural practices.
Irrigation Engineering,Agricultural Engineering,Agriculture,4.89,2023-04-21,Discusses engineering principles in agricultural practices.
Integrated Pest Management,Pest Management,Agriculture,3.86,2019-09-23,Focuses on integrated pest management strategies.
Pest Management in Agriculture,Pest Management,Agriculture,3.55,2014-12-29,Focuses on integrated pest management strategies.
Biological Control of Pests,Pest Management,Agriculture,4.38,2019-06-15,Focuses on integrated pest management strategies.
Organic Farming: Principles and Practices,Organic Farming,Agriculture,4.5,2019-01-08,Covers practices and principles of organic agriculture.
The Organic Farming Manual,Organic Farming,Agriculture,4.25,2017-04-16,Covers practices and principles of organic agriculture.
Organic Crop Production,Organic Farming,Agriculture,4.56,2023-08-22,Covers practices and principles of organic agriculture.
Sustainable Agriculture: A Global Perspective,Sustainable Agriculture,Agriculture,3.9,2015-09-26,Explores sustainable practices and ecological agriculture.
Principles of Sustainable Agriculture,Sustainable Agriculture,Agriculture,3.99,2021-08-20,Explores sustainable practices and ecological agriculture.
Ecological Agriculture,Sustainable Agriculture,Agriculture,3.53,2018-07-03,Explores sustainable practices and ecological agriculture.
